PM10 TEMP_MEAN H_TEMP L_TEMP CLOUD RAIN TEMP_Range
107 5.2 10.3 0.9 2.0 0 9.4
155 7.1 11.5 4.1 4.3 0 7.4
154 6.9 12.7 3.5 0.0 0 9.2
160 8.0 12.6 5.0 7.8 0 7.6
125 5.0 8.0 -3.6 7.5 1.0 11.6
34 -5.1 -2.5 -7.5 0.0 0 5.0
59 -2.8 1.0 -5.5 5.0 0.0 6.5
60 -0.9 4.4 -6.1 3.3 0 10.5
98 3.8 8.3 0.0 5.0 0 8.3
104 4.1 6.8 -1.3 7.3 0.1 8.1
49 -2.6 2.2 -6.3 0.0 0 8.5
67 3.7 8.7 -1.3 9.3 0.0 10.0
68 4.0 7.8 -0.2 0.8 0 8.0
93 1.6 7.8 -2.8 0.0 0 10.6
115 3.1 8.7 -1.5 4.8 0 10.2
85 1.7 6.5 -1.5 0.0 0 8.0
106 2.0 7.6 -2.3 1.3 0 9.9
105 2.8 7.3 -1.7 2.8 0 9.0
117 3.8 7.0 0.3 9.8 0 6.7
66 -1.2 8.0 -9.9 9.0 12.0 17.9
26 -8.4 -5.1 -11.0 2.8 0.3 5.9
31 -6.8 -2.9 -9.9 0.4 0 7.0
57 -4.6 1.0 -10.0 2.8 0 11.0
40 -2.2 1.6 -6.4 8.0 0.2 8.0
57 -7.0 -5.0 -8.2 5.4 0.7 3.2
120 -5.9 -3.3 -8.7 6.0 0.4 5.4
111 -3.8 0.7 -7.6 0.0 0 8.3
104 -2.1 1.6 -6.6 2.9 0 8.2
139 -1.3 3.3 -5.1 0.4 0 8.4
151 -0.9 4.2 -5.0 0.0 0 9.2
133 0.0 4.2 -2.6 3.9 0 6.8
114 1.5 5.8 -3.5 4.4 1.9 9.3
49 -4.8 3.0 -7.3 0.6 0 10.3
62 -4.8 -0.7 -9.4 3.6 0 8.7
71 -1.3 2.8 -4.8 2.1 0 7.6
100 0.8 3.7 -2.8 6.9 0.0 6.5
43 -3.5 -0.2 -5.8 0.0 0 5.6
65 -3.1 2.2 -8.9 1.9 0 11.1
83 0.3 5.1 -3.9 4.0 0 9.0
37 -9.7 -3.9 -12.3 0.0 0 8.4
62 -8.4 -3.2 -13.7 1.5 0 10.5
100 -4.9 -1.3 -8.0 5.9 0 6.7
48 -6.3 -1.3 -9.4 0.0 0 8.1
76 -3.0 1.9 -8.5 3.6 0 10.4
121 0.9 5.9 -3.0 1.1 0 8.9
155 1.6 6.1 -3.1 4.4 0 9.2
73 -2.3 2.2 -5.7 5.0 0.0 7.9
38 -3.9 -0.2 -6.7 2.1 0.4 6.5
72 -3.6 0.6 -8.0 2.9 0 8.6
94 -3.1 -0.9 -4.9 6.5 0.9 4.0
80 -2.8 2.8 -6.5 0.6 0 9.3
77 -3.1 1.6 -5.7 0.6 0 7.3
76 -3.5 1.7 -8.1 0.0 0 9.8
109 -1.5 4.2 -6.8 4.0 0 11.0
123 0.0 4.3 -3.8 6.8 0.0 8.1
82 -1.5 0.9 -3.6 3.1 0.0 4.5
113 -1.3 3.7 -5.0 3.6 0 8.7
91 0.6 6.9 -5.3 2.6 0 12.2
112 2.3 8.8 -2.9 0.5 0 11.7
118 0.1 4.7 -3.6 4.4 0.0 8.3
46 -3.0 1.8 -6.3 1.6 0.0 8.1
49 -2.9 1.2 -6.1 0.0 0 7.3
57 -1.3 4.0 -6.2 0.0 0 10.2
78 1.6 6.7 -4.3 3.0 0 11.0
73 4.3 8.2 1.0 6.1 2.5 7.2
68 -4.0 2.0 -7.1 0.6 0 9.1
43 -2.9 1.7 -6.9 0.0 0 8.6
50 -2.2 2.1 -5.0 3.5 0.2 7.1
51 0.5 6.0 -5.2 0.0 0 11.2
73 3.7 9.0 -0.2 2.9 0 9.2
43 -0.1 3.4 -3.0 0.1 0 6.4
63 -0.1 6.3 -6.3 2.5 0 12.6
110 2.8 9.5 -3.2 0.9 0 12.7
100 6.0 12.5 -1.3 3.6 0.0 13.8
86 5.6 7.6 4.3 7.3 14.7 3.3
104 6.6 12.3 1.9 3.5 0 10.4
122 8.7 15.1 3.6 3.4 0 11.5
108 6.2 8.7 3.3 7.8 22.2 5.4
57 2.9 7.7 -0.2 1.3 0 7.9
33 0.6 4.6 -2.1 3.8 0 6.7
53 1.0 5.5 -4.3 1.6 0 9.8
84 5.1 10.1 0.9 5.5 0 9.2
114 7.6 12.2 4.2 4.3 0 8.0
102 6.6 8.0 5.4 9.3 18.1 2.6
67 6.7 11.4 3.7 2.4 0.1 7.7
88 5.9 9.8 1.9 4.8 0 7.9
109 8.7 13.6 3.2 4.5 0 10.4
112 8.6 11.5 5.8 8.1 0.1 5.7
71 8.4 13.8 3.9 1.3 0 9.9
118 10.7 18.0 3.8 3.3 0 14.2
135 13.0 20.2 6.5 2.0 0 13.7
73 7.6 11.8 3.7 9.6 6.2 8.1
22 4.3 6.2 3.5 10.0 0.7 2.7
19 5.0 9.8 2.0 3.9 0 7.8
46 5.7 12.7 -0.1 0.0 0 12.8
83 6.3 11.6 1.3 1.1 0 10.3
78 9.0 15.7 1.7 1.0 0 14.0
73 10.2 16.4 4.9 1.6 0 11.5
122 8.4 12.6 6.1 3.1 0 6.5
121 8.2 13.6 3.6 1.4 0 10.0
49 5.1 8.7 1.8 1.8 0 6.9
55 5.0 11.0 0.2 0.0 0 10.8
81 6.5 12.9 0.9 4.6 0 12.0
82 8.7 14.9 4.8 4.6 0 10.1
105 9.5 15.7 4.3 0.0 0 11.4
123 11.2 17.2 5.2 0.0 0 12.0
101 8.0 14.1 2.6 5.5 0.1 11.5
87 2.4 6.9 -0.1 0.0 0 7.0
57 4.3 9.1 -1.4 0.0 0 10.5
85 10.3 17.6 2.7 6.6 2.2 14.9
45 9.9 12.6 8.2 8.9 22.8 4.4
31 13.0 17.6 8.4 6.6 0 9.2
56 11.2 13.1 9.7 9.4 0.8 3.4
113 11.6 14.4 10.0 10.0 3.3 4.4
71 9.2 10.8 7.8 8.8 20.8 3.0
101 11.6 18.4 6.4 4.9 0 12.0
95 11.8 16.9 8.5 7.6 0 8.4
62 10.0 14.3 6.8 0.6 0 7.5
62 10.2 15.5 5.6 1.1 0 9.9
75 11.6 17.4 6.6 0.5 0 10.8
62 12.3 18.6 7.0 0.0 0 11.6
85 14.0 21.3 6.8 0.3 0 14.5
129 14.5 20.8 9.6 1.9 0 11.2
93 14.3 20.6 8.8 1.4 0 11.8
82 12.4 16.9 9.1 5.8 1.3 7.8
81 9.9 13.1 7.9 7.6 0.0 5.2
89 12.0 17.9 6.3 0.0 0 11.6
110 13.7 19.8 7.2 0.0 0 12.6
96 15.7 22.3 9.0 1.8 0 13.3
87 15.9 21.9 10.7 3.4 0 11.2
99 14.0 20.0 8.1 1.8 0 11.9
84 14.9 20.7 9.6 0.0 0 11.1
108 14.1 19.6 10.0 0.0 0 9.6
91 14.0 19.8 8.9 1.4 0.2 10.9
97 14.6 20.1 9.2 0.0 0 10.9
71 15.5 21.7 8.2 4.6 0 13.5
87 15.6 20.3 10.6 5.1 0 9.7
101 15.2 18.2 12.7 9.9 4.7 5.5
96 15.6 21.2 11.7 3.4 0 9.5
57 15.7 21.5 10.2 0.0 0 11.3
67 17.3 23.5 9.9 8.1 0.1 13.6
95 21.0 26.4 17.3 8.4 0 9.1
57 16.4 19.5 14.0 7.9 1.9 5.5
74 19.5 27.9 12.7 5.1 0 15.2
52 18.0 18.9 15.7 9.6 3.8 3.2
48 19.1 21.5 15.0 10.0 90.4 6.5
29 12.9 16.3 11.3 7.0 2.8 5.0
60 14.6 20.4 8.8 0.4 0 11.6
63 16.1 21.5 10.8 5.4 0 10.7
51 19.2 25.3 12.1 6.4 0 13.2
41 18.3 21.0 16.0 9.4 39.8 5.0
26 16.4 17.3 15.6 10.0 73.5 1.7
47 15.8 16.8 15.0 9.9 3.0 1.8
101 18.9 24.0 16.0 9.5 1.5 8.0
91 17.9 22.4 14.0 4.5 0 8.4
68 16.8 22.0 12.7 1.8 0 9.3
78 17.8 24.0 12.6 2.3 0 11.4
39 16.0 20.4 12.0 7.4 9.2 8.4
26 14.1 19.3 10.0 5.6 0 9.3
40 15.8 20.3 11.4 6.6 0.0 8.9
59 17.2 22.8 11.8 2.3 0 11.0
54 14.8 19.0 9.8 8.3 15.4 9.2
21 13.7 19.2 9.7 6.9 1.0 9.5
40 16.5 22.1 10.8 1.4 0 11.3
24 18.4 24.4 12.7 1.4 0 11.7
