DATE PM2p5 PM10
20150614 18 30
20150615 23 37
20150616 28 47
20150617 28 44
20150618 17 27
20150619 14 23
20150620 24 38
20150621 13 22
20150622 19 30
20150623 22 34
20150624 26 40
20150625 26 39
20150626 8 11
20150627 8 12
20150628 13 23
20150629 15 23
20150630 19 31
20150701 19 34
20150702 31 50
20150703 22 38
20150704 18 30
20150705 20 33
20150706 17 29
20150707 20 33
20150708 5 9
20150709 6 11
20150710 12 20
20150711 17 26
20150712 6 9
20150713 21 31
20150714 38 63
20150715 29 47
20150716 5 11
20150717 5 11
20150718 18 28
20150719 16 24
20150720 13 21
20150721 16 26
20150722 20 32
20150723 18 27
20150724 9 15
20150725 11 19
20150726 10 17
20150727 16 26
20150728 23 34
20150729 27 38
20150730 47 69
20150731 40 57
20150801 32 47
20150802 21 30
20150803 17 27
20150804 16 25
20150805 21 31
20150806 22 33
20150807 26 38
20150808 21 32
20150809 12 20
20150810 18 29
20150811 37 57
20150812 32 51
20150813 23 38
20150814 24 38
20150815 44 65
20150816 45 65
20150817 17 25
20150818 13 21
20150819 21 35
20150820 22 35
20150821 19 30
20150822 24 37
20150823 24 38
20150824 18 28
20150825 4 7
20150826 6 10
20150827 11 21
20150828 17 28
20150829 20 31
20150830 22 33
20150831 22 32
20150901 16 24
20150902 16 24
20150903 14 24
20150904 20 33
20150905 19 31
20150906 7 13
20150907 7 13
20150908 7 12
20150909 8 16
20150910 13 28
20150911 21 37
20150912 11 21
20150913 10 21
20150914 17 31
20150915 14 25
20150916 8 16
20150917 6 12
20150918 11 20
20150919 16 32
20150920 30 48
20150921 30 47
20150922 25 40
20150923 25 41
20150924 22 37
20150925 22 37
20150926 28 49
20150927 15 34
20150928 14 31
20150929 10 23
20150930 8 18
20151001 8 15
20151002 10 29
20151003 17 42
20151004 12 28
20151005 14 28
20151006 16 31
20151007 23 46
20151008 27 52
20151009 11 33
20151010 11 22
20151011 9 16
20151012 10 18
20151013 16 31
20151014 26 48
20151015 36 59
20151016 43 70
20151017 34 59
20151018 48 76
20151019 62 98
20151020 57 97
20151021 70 117
20151022 48 81
20151023 29 52
20151024 21 35
20151025 16 29
20151026 16 31
20151027 13 36
20151028 13 31
20151029 12 23
20151030 10 28
20151031 16 32
20151101 24 41
20151102 29 52
20151103 42 71
20151104 55 86
20151105 52 81
20151106 32 48
20151107 8 10
20151108 3 5
20151109 8 13
20151110 31 46
20151111 26 42
20151112 10 16
20151113 8 13
20151114 8 12
20151115 12 19
20151116 17 28
20151117 12 20
20151118 6 10
20151119 8 14
20151120 22 38
20151121 33 51
20151122 20 31
20151123 5 8
20151124 15 24
20151125 9 12
20151126 24 34
20151127 26 39
20151128 28 44
20151129 29 39
20151130 29 43
20151201 32 52
20151202 31 52
20151203 12 20
20151204 15 39
20151205 16 34
20151206 19 34
20151207 29 51
20151208 36 63
20151209 39 69
20151210 28 47
20151211 21 33
20151212 16 31
20151213 25 42
20151214 29 47
20151215 33 54
20151216 13 28
20151217 11 20
20151218 23 42
20151219 36 62
20151220 35 56
20151221 34 52
20151222 40 65
20151223 37 59
20151224 61 98
20151225 16 29
20151226 40 75
20151227 16 29
20151228 15 27
