DATE PM10 TEMP_MEAN H_TEMP L_TEMP CLOUD RAIN TEMP_Range
19960613 144 24.2 29.2 21.8 9.5 0.0 7.4
19960614 68 22.6 26.4 20.2 8.3 0 6.2
19960615 84 23.9 28.6 20.6 8.5 0.0 8.0
19960616 80 24.0 28.4 21.2 8.5 3.2 7.2
19960617 52 21.2 24.0 17.9 10.0 83.2 6.1
19960618 26 19.7 26.0 15.1 7.0 18.9 10.9
19960619 96 21.9 28.0 18.5 9.0 0 9.5
19960620 75 20.8 23.6 19.6 10.0 5.8 4.0
19960621 87 22.1 26.1 19.5 9.5 2.0 6.6
19960622 99 22.9 26.6 21.0 8.0 0.0 5.6
19960623 120 22.9 27.1 20.3 9.5 0.0 6.8
19960624 69 21.1 22.2 19.3 10.0 22.2 2.9
19960625 24 22.0 25.7 18.4 9.8 0 7.3
19960626 55 22.8 27.4 18.2 3.5 0 9.2
19960627 84 20.3 21.0 19.1 9.8 7.8 1.9
19960628 57 20.4 22.0 18.5 10.0 7.0 3.5
19960629 65 21.4 24.4 18.7 10.0 30.9 5.7
19960630 67 20.4 22.4 18.2 9.5 0.4 4.2
19960701 72 22.0 28.3 18.8 9.5 19.3 9.5
19960702 50 22.3 25.2 20.1 8.8 0.0 5.1
19960703 90 24.0 29.2 19.7 7.8 0 9.5
19960704 73 22.4 24.3 20.6 10.0 19.5 3.7
19960705 40 24.0 29.3 18.9 3.5 0.0 10.4
19960706 82 22.1 24.4 20.7 9.5 0.0 3.7
19960707 24 23.0 28.1 19.4 4.0 0 8.7
19960708 24 22.8 28.0 16.8 2.8 0 11.2
19960709 32 23.2 29.2 16.6 1.5 0 12.6
19960710 35 23.8 28.9 17.9 5.3 0 11.0
19960711 35 24.7 28.4 19.6 7.5 0 8.8
19960712 35 24.7 29.5 21.5 8.8 0.4 8.0
19960713 50 23.0 26.6 20.4 10.0 1.3 6.2
19960714 44 22.9 26.0 21.1 8.8 0.1 4.9
19960715 57 22.6 25.9 21.2 9.3 51.3 4.7
19960716 41 21.7 25.0 19.6 10.0 5.5 5.4
19960717 63 22.8 27.3 20.2 8.5 18.1 7.1
19960718 53 27.9 33.5 22.5 3.0 0 11.0
19960719 65 26.5 31.5 24.1 8.5 0.0 7.4
19960720 80 24.7 25.6 22.9 9.8 15.1 2.7
19960721 76 24.7 27.8 23.7 10.0 33.2 4.1
19960722 33 23.7 26.0 22.1 9.5 41.6 3.9
19960723 92 25.8 30.4 22.0 7.8 0 8.4
19960724 49 26.7 29.1 22.7 9.3 14.3 6.4
19960725 30 27.4 30.4 25.3 8.0 0.0 5.1
19960726 28 23.6 27.0 21.8 10.0 168.6 5.2
19960727 34 24.2 26.3 22.3 9.8 50.0 4.0
19960728 31 24.4 29.0 21.5 9.8 74.0 7.5
19960729 46 27.6 31.5 24.9 7.3 0.5 6.6
19960730 40 27.7 31.5 25.2 4.3 0 6.3
19960731 48 28.8 34.6 23.7 4.0 0 10.9
19960801 57 29.8 35.4 24.5 0.8 0 10.9
19960802 82 29.7 33.6 25.4 2.3 0 8.2
19960803 107 29.5 33.9 26.6 3.8 0 7.3
19960804 40 27.8 31.2 25.5 7.5 6.7 5.7
19960805 43 28.1 32.6 24.8 5.8 3.3 7.8
19960806 68 28.4 32.0 25.3 4.8 0.1 6.7
19960807 80 27.9 30.3 26.5 7.8 0.0 3.8
19960808 70 27.2 30.8 25.2 7.3 7.3 5.6
19960809 59 28.3 33.1 25.2 6.3 0 7.9
19960810 59 27.5 30.8 25.0 7.0 0.0 5.8
19960811 69 28.8 32.8 26.1 3.5 0.0 6.7
19960812 78 28.0 31.6 24.1 7.8 11.0 7.5
19960813 87 26.7 31.2 23.7 5.0 33.3 7.5
19960814 55 28.7 33.0 24.8 5.8 0 8.2
19960815 45 26.3 29.5 24.0 6.3 0 5.5
19960816 55 26.1 29.9 23.0 5.3 0 6.9
19960817 71 26.8 31.3 22.6 3.5 0 8.7
19960818 71 27.9 32.5 23.8 0.8 0 8.7
19960819 75 27.8 32.9 23.2 4.0 0 9.7
19960820 95 27.8 32.3 24.3 4.3 0 8.0
19960821 70 28.2 32.8 24.6 7.3 0.0 8.2
19960822 36 26.6 29.8 24.6 9.0 0.3 5.2
19960823 26 23.4 26.6 20.7 8.5 0.0 5.9
19960824 24 23.9 28.9 19.5 5.5 0 9.4
19960825 26 20.4 22.4 18.6 9.5 4.2 3.8
19960826 26 19.1 20.0 18.0 10.0 32.1 2.0
19960827 24 19.1 20.9 17.8 10.0 21.4 3.1
19960828 25 20.2 23.0 17.6 9.8 7.0 5.4
19960829 31 22.5 27.4 18.0 7.8 1.1 9.4
19960830 31 21.5 23.8 18.9 8.5 4.6 4.9
19960831 33 23.1 28.1 19.4 5.5 0 8.7
19960901 34 23.7 29.5 17.8 0.0 0 11.7
19960902 51 23.9 30.9 17.2 1.8 0 13.7
19960903 86 23.7 28.5 19.5 3.0 0 9.0
19960904 66 22.2 25.9 20.0 6.0 0.0 5.9
19960905 84 21.0 24.3 18.2 9.5 0 6.1
19960906 79 22.7 27.3 18.4 5.0 0.3 8.9
19960907 101 22.8 29.3 17.1 0.5 0 12.2
19960908 81 23.5 28.7 18.8 6.8 0.1 9.9
19960909 53 22.1 27.2 18.8 6.8 1.7 8.4
19960910 64 22.6 28.3 17.6 1.3 0 10.7
19960911 96 23.3 29.0 19.2 6.0 0 9.8
19960912 93 22.9 28.4 18.3 6.5 0 10.1
19960913 110 22.4 27.9 17.8 1.0 0 10.1
19960914 104 22.8 28.6 17.9 1.5 0 10.7
19960915 97 23.7 30.1 18.7 0.8 0 11.4
19960916 96 22.6 27.9 18.7 6.5 0.3 9.2
19960917 51 22.1 26.4 17.8 3.8 0 8.6
19960918 52 22.6 27.2 17.9 4.5 0 9.3
19960919 61 21.5 25.6 18.6 7.3 8.6 7.0
19960920 41 20.5 25.1 16.7 2.8 0 8.4
19960921 46 18.6 25.6 11.6 0.0 0 14.0
19960922 60 19.4 26.4 12.8 0.0 0 13.6
19960923 64 21.3 27.0 16.4 3.8 0 10.6
19960924 55 22.9 27.1 19.9 5.3 0 7.2
19960925 74 22.4 28.6 18.8 3.0 0 9.8
19960926 80 21.2 25.7 18.1 5.0 0.0 7.6
19960927 31 21.5 27.4 16.9 3.5 0 10.5
19960928 27 18.4 20.8 16.4 8.3 0 4.4
19960929 32 20.1 26.7 16.1 5.0 0 10.6
19960930 33 20.9 27.8 13.9 0.5 0 13.9
19961001 31 19.0 22.7 15.3 5.3 0 7.4
19961002 30 15.1 17.6 14.3 9.8 4.0 3.3
19961003 44 16.4 21.5 14.4 7.0 15.5 7.1
19961004 62 17.4 23.8 12.3 2.8 0 11.5
19961005 81 17.6 23.6 13.3 5.3 0 10.3
19961006 41 16.3 17.9 13.0 9.5 21.9 4.9
19961007 31 13.9 18.1 10.0 6.0 0.0 8.1
19961008 51 13.6 18.9 8.0 3.3 0 10.9
19961009 57 14.6 19.2 11.1 0.0 0 8.1
19961010 76 14.4 21.3 8.0 1.0 0 13.3
19961011 88 16.0 23.0 9.5 4.5 0 13.5
19961012 97 17.9 23.3 14.0 5.3 0 9.3
19961013 107 16.5 21.9 11.3 5.5 0 10.6
19961014 107 16.3 21.7 11.6 0.8 0 10.1
19961015 47 12.4 17.4 9.2 0.0 0 8.2
19961016 62 11.2 17.1 5.9 0.0 0 11.2
19961017 84 11.0 15.1 7.2 8.3 0.0 7.9
19961018 105 13.5 18.3 8.9 6.3 0.0 9.4
19961019 77 13.7 19.4 8.8 1.5 0 10.6
19961020 62 13.9 19.6 9.6 1.8 0 10.0
19961021 67 14.8 20.5 10.0 1.8 0 10.5
19961022 102 15.6 22.6 10.1 0.0 0 12.5
19961023 93 16.8 22.8 11.5 4.5 0 11.3
19961024 116 15.2 16.5 13.8 9.3 48.9 2.7
19961025 51 13.8 16.4 7.7 8.0 0 8.7
19961026 38 5.8 11.0 1.2 1.3 0 9.8
19961027 60 6.8 14.2 -0.4 0.0 0 14.6
19961028 68 10.7 16.4 4.5 5.0 0 11.9
19961029 64 16.5 21.7 11.6 4.0 0 10.1
19961030 74 17.1 19.9 12.6 8.5 0.0 7.3
19961031 41 15.2 18.5 12.2 6.8 0 6.3
19961101 36 12.0 14.0 10.6 10.0 11.0 3.4
19961102 50 11.3 15.6 7.9 4.8 0 7.7
19961103 73 9.9 16.3 4.9 0.0 0 11.4
19961104 80 11.1 14.9 7.0 8.5 6.3 7.9
19961105 71 13.5 15.9 10.7 7.5 11.2 5.2
19961106 36 7.8 12.6 3.0 1.8 0 9.6
19961107 70 7.1 10.2 3.9 7.0 0 6.3
19961108 91 8.9 12.9 4.2 7.0 2.8 8.7
19961109 62 10.0 13.5 8.1 6.3 7.9 5.4
19961110 94 10.6 16.2 6.2 3.5 0 10.0
19961111 101 12.6 18.8 8.1 3.3 0 10.7
19961112 80 7.9 11.2 5.6 4.5 0 5.6
19961113 46 6.1 11.3 2.1 0.5 0 9.2
19961114 43 3.5 7.3 0.7 1.8 0 6.6
19961115 43 2.1 6.2 -1.1 0.0 0 7.3
19961116 56 1.8 6.1 -2.4 4.3 0 8.5
19961117 53 3.1 4.7 0.9 9.5 4.2 3.8
19961118 50 4.7 8.8 0.7 1.0 0 8.1
19961119 77 5.2 10.4 0.7 1.8 0 9.7
19961120 94 7.4 11.0 3.9 8.5 5.8 7.1
19961121 54 5.6 9.7 0.6 2.0 0 9.1
19961122 59 2.5 7.3 -0.9 0.0 0 8.2
19961123 80 2.5 5.5 0.6 8.5 3.5 4.9
19961124 90 5.0 8.4 2.3 1.8 0 6.1
19961125 114 6.1 12.8 0.5 2.0 0 12.3
19961126 99 7.9 10.9 4.8 9.8 3.4 6.1
19961127 42 2.9 8.2 -3.4 3.5 0.5 11.6
19961128 51 -0.8 4.5 -5.8 2.8 1.4 10.3
19961129 43 -0.1 2.4 -3.6 5.8 0.7 6.0
19961130 39 -4.1 0.8 -8.0 7.5 4.2 8.8
19961201 38 -7.7 -4.2 -10.5 0.0 0 6.3
19961202 73 -4.1 1.5 -9.0 0.0 0 10.5
19961203 104 -0.4 5.4 -5.3 5.3 0 10.7
19961204 77 2.9 4.2 1.4 10.0 9.8 2.8
19961205 43 -1.2 3.7 -7.0 5.3 0.1 10.7
19961206 53 -5.5 -2.1 -9.0 2.8 0.0 6.9
19961207 46 -3.6 -0.5 -6.9 0.5 0 6.4
19961208 83 2.1 8.3 -3.6 5.8 0.0 11.9
19961209 163 4.1 8.1 1.7 4.5 0 6.4
19961210 160 4.4 8.1 1.1 3.3 0 7.0
19961211 122 3.9 8.4 0.6 0.0 0 7.8
19961212 114 2.6 8.1 -2.3 2.0 0 10.4
19961213 107 5.2 10.3 0.9 2.0 0 9.4
19961214 155 7.1 11.5 4.1 4.3 0 7.4
19961215 154 6.9 12.7 3.5 0.0 0 9.2
19961216 160 8.0 12.6 5.0 7.8 0 7.6
19961217 125 5.0 8.0 -3.6 7.5 1.0 11.6
19961218 34 -5.1 -2.5 -7.5 0.0 0 5.0
19961219 59 -2.8 1.0 -5.5 5.0 0.0 6.5
19961220 60 -0.9 4.4 -6.1 3.3 0 10.5
19961221 98 3.8 8.3 0.0 5.0 0 8.3
19961222 104 4.1 6.8 -1.3 7.3 0.1 8.1
19961223 49 -2.6 2.2 -6.3 0.0 0 8.5
19961224 67 3.7 8.7 -1.3 9.3 0.0 10.0
19961225 68 4.0 7.8 -0.2 0.8 0 8.0
19961226 93 1.6 7.8 -2.8 0.0 0 10.6
19961227 115 3.1 8.7 -1.5 4.8 0 10.2
19961228 85 1.7 6.5 -1.5 0.0 0 8.0
19961229 106 2.0 7.6 -2.3 1.3 0 9.9
19961230 105 2.8 7.3 -1.7 2.8 0 9.0
19961231 117 3.8 7.0 0.3 9.8 0 6.7
19970101 66 -1.2 8.0 -9.9 9.0 12.0 17.9
19970102 26 -8.4 -5.1 -11.0 2.8 0.3 5.9
